ori_sentence,bias_labels
的意中人已经一钱不值了，随便一个骗子、流氓都可以轻易地占有她。”“这种老式的恋爱方式你们年轻人一定不屑吧？”中年人微笑地看着我，看得出来李江云的刻薄话丝毫不能刺伤他，“和你们比起来我们是显得顾虑重重、优柔寡断，这和我们成长的时代的影响有关。我们为个人追求时不像你们那么大胆、一无所有却勇气十足、我认为值就不措一切；我们考虑问题时更多的是注意到和整个方面的平衡。我们受教育一贯是把个人置于一种渺小的境地。这是...,"[0, 0, 1]"
春天来临的时候，灵珊已患著淡淡的忧郁症，她变得多愁善感而落落寡欢。,"[0, 1, 0]"
“你过去是一个多愁善感、落落寡合的人对不对？,"[0, 1, 0]"
在她的精神世界中，她天生的多愁善感，像她那样性格的人往往是这样的。许多东西会在她心里引起悲哀--那些弱者，那些凄苦无依的人，一概激起她的伤心。每次那些脸色苍白衣衫褴褛的人带着可怜的麻木神情从她身旁绝望地走过，她的心就为他们痛苦。傍晚时分...,"[0, 1, 0]"
"木地按照军规生活,执行类似整理军营卫生、给火车车皮消毒等乏味的命令.这一日,部队到达了新营地.赖德从副连长处得知了驻地的名字,马上,""..随着我的受了伤害的感觉恢复了知觉,我耳边逐渐充满了许多甜美的、纯真的、久已忘却的声音:因为他说出了我那么熟悉的一个地名..""这个地方叫""新娘河"".部队将在此地的布赖兹赫德庄园驻军,这座庄园和赖德年轻时代的友谊与爱情有着千丝万缕的联系.20年前,即1923年,赖德还不满...","[0, 1, 0]"
这无异于肯定了桑德拉对克莱德的想法，于是，她便接下去说：“今年春天有一个晚上，伯蒂娜·克兰斯顿和我在格里菲思府上见过他。那时候，我们还觉得他这个人太羞羞答答。不过，我希望现在你们再好好看他一眼——他确实漂亮，还有他那温情脉脉的眼眸和微笑。”,"[0, 1, 0]"
"月18日星期天晚8点结束.工头已经预先得到通知,便把一架半自动操纵的注塑机交待给了布萨尔.这是最新式的机器,卧式的,足有3米长.布萨尔心里喜滋滋地打量着面前的注塑机.这个庞然大物躺在那里,活象一只威武雄壮的猛兽,就是它将使布萨尔赚到必要的钱,来换取自由和爱情.未来的187天当中,布萨尔的手将不断地在模具中出出进进,只有一个八角形的安全罩偶尔把它们隔开.必须将安全罩掀起来模具才能打开,而要想使两块模具...","[0, 1, 0]"
赵行德所属的汉人部队称作正规军的前锋，由汉人中选拔出来精壮汉子组成。打仗的时候，这支汉人部队总是被安排在最前线。这支部队中的兵士有从宋军中俘虏来的，也有当地土生土长的汉人，都是勇敢善战的年青人。赵行德正好赶在开战的第二天进了凉州，一到城里就被抓了，分配到这支队...,"[1, 1, 0]"
阿士诺下指令时，它会照着行动，而且差点就杀死了三个精壮警卫。第四个警卫好不容易用长矛将他钉穿在地上，它还死命的想要挣脱，仿佛不知道痛似的。最后它的器官总算坏掉，这所谓的实验原型才死去。,"[0, 1, 0]"
这件事被当时在他家当长工的那个老实巴交的汉子知道了，他非常气愤，为了怜惜咱们，他每次从地主家打出饭来，自己欠着肚子，偷偷地拿给我们吃，还说稍微太平些，护送咱们回家去。,"[1, 0, 0]"
玉石精致而灵动，温婉而含蓄，与东方人的气质极为吻合。,"[0, 1, 0]"
剽悍的黑甲羽林卫笞剑鹄立。,"[0, 1, 0]"
他娘的韩秋云，窗户台上晒屁股，你的脸就那么大？蓝桥埠一千八百人没有出几个光棍，我梁大牙好歹也算个人物呢，咋鬼迷心窍独独号上了这号不识好歹的妮子，让她弄得一肚皮窝囊气。其实有啥呢？不就是脸蛋子白嫩身段子秀气么，有啥稀奇的，夜里搬到床上吹瞎了灯，还不都是一个模样？,"[0, 1, 0]"
红叶见他来了，眼睛里止不住流露出又惊又喜的神情，端上好酒后，还乖巧地在他身旁坐了下来。,"[0, 1, 0]"
西晋和六朝之作的绮丽奢靡，在当时也都是备受追捧的主旋律，然而大浪淘沙最终在艺术史中冷落沉沦，究其原因都是因为“形式大于内容”。张艺谋开幕式试图演绎孔子，但却忘记了孔子讲的话：“质胜文则史，文胜质则野，文质彬彬，然后君子。”也就是说，只有在艺术的形式与内容相得益彰时候，才可能会有真正永恒的艺术。所以张艺谋虽然获得了很大的成功，作为一个很喜欢他的观众，我要说的是成功并不意味着永远，欲从成功到永远还必须把重形式转...,"[0, 1, 0]"
逝去的是一个狂人。说他是狂人，并不是指其个性放肆张狂，而是他对IT产业揣着狂热梦想以及对事业马,"[0, 1, 0]"
至今仍是许多不长进的菜鸟作者直接抄写的经典范例（更不长进的废柴大概是直接抄袭电脑游戏。呜呼！抄也要用三分心啊。），另外一方面，它也是极早引进了多角恋情为主题（善良的有点像白痴的精灵公主萝拉娜，还有美丽放荡的龙骑将奇蒂拉，围绕着一个烦恼该选谁好的半精灵）还有丰富床戏的奇幻文。自从八十年代以来，成为了日本ACG 界无数大作之参考资料。又在95年初，便已经被翻译，流传于台湾各大bbs 之中，因此对于该大作，不...,"[1, 1, 0]"
沉淀为人格。我进一步说，人格的外化方式一定是抽象线条，中国书法的线条把中国文化人格的几个重要方面都充分呈现了。你看，笔墨的流动状态就是逍遥游，君子高高大大的袖口在转笔处抖动，他们的表情变化，他们的气节刚正，全在笔墨间体现出了雍容与华贵。他们还必须遵守规范，在规范当中取得自由，孔子所说的“从心所欲不逾矩”，正好体现在书法当中。这种抽象提炼，恰恰是最高提炼。8年前，在法国的塞纳河畔，我曾经和一个法国建筑学家...,"[1, 0, 0]"
蒋介石年轻时没有受过良好教育，养成了许多坏毛病。1919年7月24日，他回忆辛亥革命时的个人经历，在日记中对自己写下了“荒淫无度，堕事乖方”的八字考语。 由于这些坏毛病，在相当长的一段时期内，朋友们不大看得起他。1920年3月，戴季陶醉酒，“以狗牛乱骂”，蒋介石一时激动，闪过与戴拼命的念头，但他旋即冷静下来，检讨自己，“彼平...,"[0, 1, 0]"
金秋九月天高气爽，走进布置的金碧辉煌的“船长1号”，发现每个人的脸上都洋溢着快乐的笑容。高大帅气的外教主持时而穿梭在学员当中，时而用诙谐幽默的话语带领学员一起游戏。刚开始还有些腼腆的学员们，不一会就变得大胆而热情，英语居然也越说越流畅。这就是韦博国际英语在金秋九月举办的游船活动，活动中来自徐汇中心...,"[1, 1, 0]"
他突然看见她。尽管过了这么多年，他仍一眼就认出她。他们聊了起来。慢慢地，他知道了她的这些年。她毕业后留在这学校当老师，并一直没嫁人。他觉得有点奇怪，出于礼貌没有开口询问。他已经不再是鲁莽的少年。,"[0, 1, 0]"
有人升职了吗？不就是那个老实巴交的John吗？这小子，没想到下班之后请老板吃饭倒是神气活现，怪不得什么时候大家上班偷懒老板总是一清二楚；,"[0, 1, 0]"
黄溍一生，仕途上并无多大崎岖，但他没有骄纵之气，始终纯朴坦率，从不故意做作。与他相交的人，也受到感染，“鄙吝顿消”。他生性刚烈，疾恶如仇，见到不平事，面对奸诈人，他便勃然大怒，好像弦急霆震，不稍宽容。但他又胸怀坦荡，不抱成见。如果把不平事公正地解决了，奸诈者有所悔改了，转瞬间他就煦如阳春。他生活俭朴异常，虽居高位，但从不奢靡，贵而能贫。日常生活，萧然不异于平民。他清心寡欲，正当“强壮之年”岁时，“即独榻于外，给事于左右者，二苍头（仆人）而已。”,"[0, 1, 0]"
后汉灵帝之时，在涿州有一人姓张名飞字翼德。为人慷慨，禀性刚直，身高八尺，膀阔三停，面如润铁，浓眉环眼，声如巨雷，势如奔马。时年方十十岁，恰黄巾作乱，国家挂榜招贤，张飞正欲投军之际，巧遇刘玄德，关云长。三人一见，义气相投，随在桃园结义。自结义以来，招募义兵，大破黄...,"[0, 1, 0]"
我写我知道德财版主也是德字辈的高手，能歌善舞，文武双全，帅气逼人，我的贴子成了精华。,"[0, 1, 0]"
甲：“老夫来得鲁莽。”一定是鲁莽，不鲁莽，他能冒场吗？,"[1, 1, 0]"
三十三万字的长篇小说《上山?上山?爱》具有浓烈的自传色彩，男 主角「万劫」其实就是李敖自况，写他三十年前与清纯的大学生叶葇邂逅相恋六天的缠绵，但之后即因「政治犯」罪名被逮，坐牢十年。而三十年后，也是「万劫」出狱十年后，他邂逅大学生君君，雨中共游，忘年之恋 ，同去扫君君母亲之墓，赫然发现墓碑上之名字是「叶　」，也就是说， 男主角与母女两人在不...,"[0, 1, 0]"
我们和《箴言》（Maxim）总编辑埃德·尼达姆对话，用我们的标准来衡量，那是一本挺过分的男性杂志，“集‘无聊笑话、浴室和卧室的俏皮暗语、*女郎’于一体”。但总编辑的话却相当严肃――“我们的杂志能深入读者的内心，与读者保持着深层次的联系。用的是读者的语言，表达的是读者的看法，拥有和读者一样的幽默感。我们的基调，一半是永不满足的求知欲...,"[0, 1, 1]"
赵薇一上场便给现场的观众唱了一首自己新专辑里的《我和上官燕》，而其一身活泼俏皮的打扮似乎让人感觉到了当年“小燕子”的来临。节目现场有很多赵薇的歌迷，赵薇一上场就收到现场歌迷送的一大束玫瑰花。,"[0, 1, 0]"
刚刚出道时的张柏芝因为形象清丽秀美，被媒体誉为“小林青霞”，而经纪公司也有“锋芝恋”终于修成正果意将她包装成香港娱乐圈新的玉女派掌门人。然而个性出众的张柏芝却坚持自己的本色。,"[0, 1, 0]"
头旁边我们重新再见一次面好不好，他的女朋友同意了，就已经约好了，我的朋友就先到了现场，还是那条当年的河，当年的树，当年的石头，他坐在那里等他当前的情人，青梅竹马的情人出现，结果远远的看到一个老太太，又笨又老，又胖又丑，还罗锅，我想罗锅北京话大家听懂了，台湾叫瘸子或者叫驼背，还罗锅，他第一个反应就是要逃掉，回来以后心都碎掉了，我说你活该，你为什么去追寻，要旧梦重温呢，这个旧梦是不能重温的。各位我告诉你们...,"[1, 0, 0]"
答：你应该了解，这个世界可爱的东西并不很多。好比说漂亮女孩子是可爱的，漂亮小女孩，幼稚园小女生好可爱。漂亮小狗，澳洲的袋鼠熊……我发现漂亮的、可爱的东西并不很多。当然你要珍惜他们。其他部分就是，我小说里提到了，你要本着选择性的。你看台湾风景，没有一个完整的风景给你看，都是一堆垃圾，人工的...,"[0, 1, 0]"
我是七九年的十二月六号走的，到今年十二月六号整整三年了，我二号回来的，可能提前回来一个多月， 一个月零几天，零四天也就是。从这说话我觉得我是，现在就是特别扭，特笨，嘴好象不听使唤是的，尤其在来到家以后，就跟这个女孩子一块儿，说话感觉到自己嘴跟小伙子到一块儿没关系，是吧，觉得还能凑合着说得来，就遇到这小姑娘儿，就我们同岁这么大的，他们说话这嘴皮子之间张的相当...,"[0, 1, 0]"
间还洗不干净呢？还有上厕所，讲到上厕所我就想起我们当年解手的时候都是护士带着去，而护士一般跟我年龄差不多，都二十来岁，又都是女护士，问题就出在这里。女护士带着我们二十来岁的小伙子去解手的时候心里面有点别扭，但是我们自己又动不了，必须要有人搀扶着才行，所以每次一到厕所就开始赶护士。她们也了解我们的心情，一般叮嘱一下要我们自己多注意，因为我们有时到厕所里会找不到坑，所以护士担心我们掉进去，她一般都扶我们进里...,"[1, 0, 0]"
一家三口眼，我都会，哎哟，就那种感觉。但是那次说让我抱他，我说那就抱吧，硬着头皮我就上了，拥抱了他一下。但是拥抱那一下我觉得，真是体会到父亲肩膀的那种温暖，我想作为一个男孩说这些东西可能让人觉得有一点别扭吧，但是那次我真的体会到了。,"[1, 1, 0]"
根据一项统计，目前中国内地奢侈品的市场价值约为２０亿美元，占全球奢侈品销售总额（６５０亿美元）的３％左右。未来的１０年里，中国人很有可能取代日本人，成为推动奢侈品行业的最大力量。对于已经过了鼎盛时期的全球奢侈品行业来说，在未来的岁月里，中国市场无疑是他们的最大希望。不过，对于那些花费两个月工资为自己捧场的年轻女性，缪奇娅的态度似乎有些保留，或许，她更反感的是人们对于价值的单纯定义。,"[0, 1, 0]"
张文中：在六十五岁之际，你还能在青春女孩的身上感受到那种情色的冲击力，还能写出这么一部充满动感的情色小说，实际上也证明你的“力比多”还是很旺盛的？,"[1, 0, 0]"
一晚上了，而且事实上晚上也不存在所谓的睡觉，说是睡觉可是谁敢把眼睛闭上呢？不但要把眼睛睁开，连耳朵都得睁开。反正那天早晨天刚蒙蒙亮，已经熬了一宿了，当时就觉得前方是一片漆黑，一直是靠耳朵，结果有了一点光亮的时候，忽然就发现前方越南的阵地上有一个红色三角裤衩。这时候我顺手拿起了狙击步枪用二十四倍的瞄准镜看清楚了，是一个挺年轻的女的，当时上身没穿衣服，下身穿了一个短裤，头发很长，出来就冲着我们??,"[1, 0, 0]"
他说，从前，我驻防的部队在一个岛上，几个人守着一个孤岛，几个孤零零的人很孤独，想来孤独其实是男人本性里的一种美德，男人在孤独里纯净而又自省。可是久陷在孤独里，人可能会变成疯子，因为深陷孤独里的人会不由自主地陷进妄想，就像一个贫穷到极致的人妄想着富贵的种种可能，一个孤独的人妄想最多的是突然在哪一天，整个社会都能认知你，所谓的出人头地...,"[1, 0, 0]"
多钱，文献记载是“二十金”，就摆了很多钱。然后呢跟罗天益说，他说，这个原话都有的，他说我知道你家里边生活比较困难，我把这些钱送给你，回去以养妻子，就是给老婆孩子吃上饭，这钱去供给你生活去。罗天益一看就傻了，天下有这种老师吗？你在人家吃着住着人家的都是人家的，然后呢人家还拿钱给你，让你回家养家糊口去，有这事吗？一般你还交钱、交学费，对吧？他就不要，说什么都不要，死活不要，就是不能收老师的钱。结果李东垣说...,"[1, 0, 1]"
他们的小楼是墩子用自己的多年积蓄买下的，在这个整洁温馨的家里，处处可以感受到女主人的勤劳贤淑和二人世界的宁静祥和。,"[1, 0, 0]"
好朋友，真的是浙江人，陆筱钊，浙江人。他四十几年以后回到大陆，约来他当年青梅竹马的女朋友，在他以前的，也许是富春江旁边啊，一个小河旁边重新聚会，他先去，坐在河边等他女朋友，远远地看到一个老太太，又黑又胖，就这样摇摇晃晃来了，就是他的青梅竹马的情人。他第一个反应就是想逃掉，你懂我意思吧。所以后来回来跟我讲，我笑陆筱钊，我说你这么聪明，怎么可以重温旧梦呢，你一定破坏旧梦。”,"[1, 0, 0]"
鲁豫：我觉得你最难得的一点就在这，有很多女影迷喜欢你，无论你走到哪儿，都会有很多女影迷追到哪里。,"[1, 0, 0]"
李敖：不是綜藝節目，是打倒綜藝節目的節目（李敖笑了起來），我不是很會表演的人，我是冷面笑匠，而且我對群眾也不是那麼友善的，最像我的就是陳文茜，我在陳文茜的新書發表會上，我就講，講個粗話不要介意，「陳文茜是沒有『懶叫』的李敖」，性格跟我很像，很傲慢的，不過陳文茜是才女想做美女做不成的，而美女想做才女做不成的就是胡因夢。其...,"[0, 1, 0]"
变得很粗浅，可是我觉得还是应该向往最光明的一些人，和他们代表整个人类的光明面。居里夫人就是一个例子，她搞出来的镭以后，她放弃专利权，她的专利可以发很多财，可是她不要。要专利是很正常的，她经过了那多年的辛苦，从一个下女出身，最后变成一个大科学家，搞出镭来有点福利搞点享受大家会觉得是人之常情。可是她放弃了这个福利，放弃了这个专利，不是更伟大吗？人类有这种人，比你想象中更伟大的人。我觉得这些人及他们的故事，应...,"[0, 1, 0]"
女儿是李宗盛现在唯一的安慰，也是他生活的动力。不管他的生活中出现了什么样的变数，也不管他工作上有多辛苦，有了女儿在自己的身边，我想仅仅是看到女儿们对自己的一个微笑，李宗盛就能很满足，很感激了。这才是他想要的。,"[1, 0, 0]"
季：她在后面洗了，结束的时候洗的。（寒死了..季MM蛮漂亮的，感觉好清纯竟然...）,"[0, 1, 0]"
周迅不是典型的美女，却以另类气质取胜，又具双重性格，所以她不囿于特定的形象。古灵精怪是她的代名词，另类是她的个性。虽然周迅在生活中不是一般概念里的“美女”，但她有着较好的艺术感觉和很大的可塑空间。,"[0, 1, 0]"
巴菲特：嗯，我想说我最佩服的是比尔对于如何处理他积累的财富的态度。如他所说，他是个非常幸运的家伙，生当其时其地，创业适逢其会，成功得水到渠成。最终，他明白自己是一个伟大社会的受益者，而不是每个人都如我和他一样幸运的。他认为，世界上每个人都和其他人一样是平等的，而他不仅以自己的财富来支持这个观点，更以自己的时间来支持它。他的妻子梅琳达也是如此。他们将把自己的后半生所有的精力、才能、财富等等都用在改善世界上65亿人...,"[1, 0, 0]"
在李大齐的精心打造下，周迅近年来一改过去随意的着装风格开始向精致的都市小女人转变，她每一次在公开场合的亮相，都能给媒体带来出乎意料的惊喜。,"[0, 1, 0]"
刘诗昆很直爽，说话没有顾忌，谈起自己的人生经历非常地坦诚，这其中也包括很丰富的情感经历。刘诗昆说他是一个深情的男人，也很浪漫。,"[1, 0, 0]"
个水龙头又是120.这种隐性高收入者到哪里找？不晓得他有没有家眷？我这里还有个姐妹死撑着要找博士，我得去做她思想工作，博士只是好看的，用来展览，象丝绸一样难打理要伺候，其实真正贴身的关怀，那种全棉的，妥帖。若找个修空调的师傅做劳工，连通厕所带清理下水道带修冰箱彩电洗衣机一应都有了，你只需要坐在那里发白日梦就好。,"[1, 0, 0]"
因为家中原有的花裙子早已由于“破四旧”改作他用了，还得买布现做……总之，老曹想到这一切便有种反胃的感觉。可是当时学校真正当家的是“工宣队”的樊队长，他将在八点左右穿着“接待服”到校，在由我们布置安排妥帖的“布景”中出面接待尊贵的外宾。他是一切实际事务工作概不沾手的，但倘若接待中出了纰漏，责任却需要我们——首先是老曹——来负。,"[0, 1, 0]"
"他眼里.第三幕""宙斯的殿堂""一座美丽的殿堂,殿堂深处有一火炉,此即宙斯的天火.宙斯的两名仆人权力和暴力站在炉前守卫.权力牢骚满腹,觉得自己虽是权力却要听命于宙斯做帝王意志的奴隶.远处传来欢乐女神们缱绻缠绵的歌声.暴力和权力被女神们的歌声弄得心绪不宁,失去自持的力量去寻欢作乐了.这时普罗米修斯正好来天宫盗火.好心的阿佛罗狄蒂帮助他,留住了玩忽职守去喝酒的看护神.普罗米修斯把火装入芦苇杆内,他盗火成功,飞入...","[0, 1, 0]"
她这个妖怪生性倒不阴沉怪戾，而是个嬉戏轻挑、爱动不爱静的女妖。她最得意的就是呼唤来一阵阵大风，待到风力足够的时候，她便随风翩跹起舞。,"[0, 1, 0]"
"哪里啊！都老太婆了，女儿都比我高了呢！怎么会？""安娜突然注意到自己的声音，便故意放得娇柔纤细些。","[1, 1, 0]"
"毛维系着乌罗兹的命运.走着走着,他们来到了一个穷地方.一群衣衫褴褛、神态卑躬的人围着他们问侯.其中有个叫泽蕾的女游移民,高额骨,大眼睛,长睫毛,很诚挚而细心地用草药给乌罗兹治腿,乌罗兹认为她只不过是个无耻的私生子,非常鄙视她.莫基却与她一见钟情,很快搂抱到了一起.他们临走时,却不见了泽蕾.第二天,他们走近一座山间的道口,忽然发现泽蕾坐在前面.她跪在乌罗兹面前,恳求他留下她.她说:""自从我丈夫死了以后,他...","[1, 0, 0]"
她很胖，头发短短的象男人。,"[0, 1, 0]"
"但她本性不坏,她一生渴求幸福,也曾为之不懈地奋斗,可是三十年来生活带给她的又是什么呢?除了痛苦还是痛苦.一再的打击使这个女人的心彻底地麻木了.我们看到,在本书的结尾,她已经从三十年代一个憧憬美好未来的纯真少女蜕变成为六十年代挣扎在社会最底层的一个孤独的老妇人.相比之下,洛丽泰的大儿子朱尔斯和大女儿莫丽恩则是青年一代的代表.在他们身上已很少看到委屈求全的忍耐,更多的是为了达到个人目的,不择手段的钻营和抗争...","[1, 0, 0]"
四五丈处。只见她清丽秀雅，容色极美，约莫十七八岁年纪。张无忌颇为诧异，暗想听她啸声，看她身法，料想必比丁敏君年长得多，哪知她似乎比自己还小了几岁。只见这女郎腰间悬着一柄短剑，却不拔取兵刃，空手走近。丁敏君出声警告：“周师妹，这...,"[1, 1, 0]"
"子、片山民子的关系.有马秋彦要同福村光子结婚,遭到了他所有亲人的反对.而秋彦还是去敲了光子的房门.厚厚的板门开了一条缝,光子说:""我有客人,你明天来行不行?""这么晚来的客人是男还是女?秋彦想到这里,便粗暴地推开门,深处的起居室里,父亲坐在安乐椅上,还穿着西装.秋彦握紧拳头,愤怒地颤抖着,断断续续他说:""我知道爸爸到这里来,是为了破坏我们的婚事.""胜平漫条斯理他说:""看来你什么都不知道,这个人有丈夫,名叫...","[1, 1, 0]"
"的抚爱使我恢复生活勇气,但当姐姐远嫁,我又陷入孤独之中.随着年龄增大,我身体也发生了变化,一种不安经常使找产生一种渴求,渴求爱欲.正在这时,少女夏拉达闯进了我的生活.她用歌喉扣琴声迷住了我,她的美丽和甜蜜时时搏击我的心.双方萌发了爱情,但我始终有些恐惧,没有采取主动表示.命运的捉弄,使我们分手.为了进学院,我进拉含尔,投宿在姨妈家,表妹什茜料理我的生活.我十分想念夏拉达,假期回家找她,但人去楼空,谁也不...","[0, 1, 0]"
"难已经嫁给了一个老农民.加代自到公寓住以来,从未安分过,常常招来年轻的男人.加代对未来感到迷惘,却又随遇而安,泰然处之.这从她的眼神就看得出来,她的瞳孔象动物般的灰暗,但从两颊到嘴角却带有少女般天真的娇气.须卷穿着一件皱皱巴巴的国民服,背着一包沉重的刷子从银座回来.仙三从熟人那里采购来毛刷交给他卖,月薪是售货额的百分之一,每月150元到300元,","[1, 0, 0]"
映在墙壁上的剪影，高大健硕的亚平，蜷缩成猫一样的柔软，勾勒得如寒风中颤栗的树叶般飘摇不定，那种被逼迫的求饶将他彻底打倒，两座如山的女人，已经将他挤压得没了退路。这两个女人，他都爱，而爱起来，却如此的艰难。,"[1, 1, 0]"
其时，郁晓秋的姐姐已经结婚，姐夫是与她姐姐同一年中学毕业，分配进电话局的同事。人长得很端正，头发黑亮，牙齿雪白，是俊朗而且热情的青年。他看她姐姐的眼光，是恨不能将他细巧的爱人走到哪抱到哪。真是难以想象，冷若冰霜的姐姐竟能获有这样热烈的爱恋。爱情是一桩令人惊奇的事物，它可挖掘出人潜在的能量。姐夫家住在南京路西段的新式弄堂...,"[1, 1, 0]"
画廊里，出现了一个男子，大嘴巴女人似乎又换了男伴，也是廿岁出头的年轻男子，比上一个更俊朗。,"[1, 1, 0]"
停车场上，所有的路灯从树叶的后面透射出来，混在浓雾里，夜色温柔。不管是在停车场上，还是在沙漠里，都是一天最美好的时光。在停车场上，我被一群坏女孩围住，在沙漠里，我被绑在十字架上，背靠着涂了沥清的方木头，面对着一小撮飘忽不定的篝火。在半干的畜粪堆上，火焰闪动了一阵就熄灭了，剩下一股白烟，还有闪烁不定的炭火。天上看不到一颗星，沙漠里的风变得凛冽起来。那股烟常常飘到我的脸上来，像一把盐一样，...,"[1, 0, 0]"
金凤姐咬着涂满胭脂的嘴唇，忍住了一个笑，胡国光也不觉得；他又忙着想一些事。,"[0, 1, 0]"
便道：“无忌哥哥，你曾答允我做三件事，第一件是替我借屠龙刀，第二件是当日在濠州不得与周姊姊成礼，这两件你已经做了。还有第三件事呢，你可不能言而无信。”张无忌吃了一惊，道：“你……你……你又有甚么古灵精怪的事要我做……”赵敏嫣然一笑，说道：“我的眉毛太淡，你给我画一画。这可不违反武林侠义之道罢？”张无忌提起笔来，笑道：“从今而后，我天天给你画眉。”,"[1, 1, 0]"
一阵轻柔婉转的歌声，飘在烟水蒙蒙的湖面上。歌声发自一艘小船之中，船里五个少女和歌嘻笑，荡舟采莲。她们唱的曲子是北宋大词人欧阳修所作的「蝶恋花」词，写的正是越女莲的情景，虽只寥六十字，但季节、时辰、所在、景物以及越...,"[1, 1, 0]"
陆氏夫妇见她一眨眼间便连杀三人，明知无幸，一咬牙，提起刀剑分从左右攻上。李莫愁举拂尘正要击落，见武三娘持剑在侧，微微一笑，说道：「既有外人插手，就不便在屋中杀人了９她话声轻柔婉转，神态娇媚，君之明眸皓齿，肤色白腻，实是个出色的美人，也不见她如何提足抬腿，已轻飘飘的上了屋顶。陆氏夫妇与武三娘跟著跃上。,"[0, 1, 0]"
他自我欣赏地连连点着头，然后，做出十分娴雅的姿态慢慢说道，“如今被共产党迷惑住走上歧途的年轻人实在不少哦。林小姐，我真没想到，你跑出家庭闯来闯去，也闯到他们的怀抱里。真想不到！真想不到！”,"[0, 1, 0]"
她有一头柔细乌黑的头发，不长不短，刚刚齐肩披著，光洁而飘逸。,"[0, 1, 0]"
应该还算体面；那件简易的睡裙是她穿旧的嫌小的衣裙，白色褪成了浅黄色。旧得那么柔细，他那样的大手可以一把将它全部摸在拳心。,"[0, 1, 0]"
杏莉的声音更柔细了。,"[0, 1, 0]"
很多人在那里交流经验，说要把资料写得尽量简洁，任子鹏又帮我重新写了一份。我在驻京办哭了，求他们，里面的人就写了一张纸条，发了传真给荆宁市政府，“普溪镇双弘村征地案，速查办”。可是一出来，我们就被五个彪悍大汉骗走了。他们说有办法，有熟人，可是一上车就把我们控制住，把我们送到一个疗养院里面，关了半天，押到火车站，盯着我们上火车。,"[1, 1, 0]"
